iter	Passed	Remaining
399	27997	41996
400	28057	41910
401	28151	41876
402	28177	41741
403	28234	41652
404	28281	41549
405	28381	41524
406	28423	41412
407	28490	41339
408	28551	41256
409	28610	41171
410	28639	41043
411	28731	41004
412	28789	40918
413	28864	40856
414	28900	40738
415	28940	40627
416	28975	40509
417	29048	40445
418	29087	40333
419	29130	40228
420	29207	40169
421	29248	40061
422	29321	39996
423	29383	39917
424	29434	39823
425	29521	39777
426	29586	39702
427	29657	39635
428	29732	39574
429	29820	39529
430	29876	39441
431	29920	39339
432	29974	39250
433	29990	39111
434	30092	39085
435	30149	39000
436	30229	38946
437	30264	38833
438	30312	38736
439	30369	38651
440	30423	38563
441	30498	38502
442	30568	38435
443	30611	38333
444	30672	38254
445	30747	38192
446	30813	38119
447	30852	38014
448	30946	37976
449	30999	37888
450	31075	37828
451	31116	37724
452	31150	37614
453	31216	37542
454	31284	37473
455	31312	37355
456	31363	37265
457	31436	37201
458	31479	37103
459	31544	37030
460	31578	36920
461	31616	36817
462	31679	36742
463	31760	36688
464	31817	36606
465	31835	36481
466	31902	36411
467	31987	36362
468	32066	36305
469	32163	36269
470	32246	36216
471	32297	36129
472	32326	36017
473	32384	35936
474	32417	35830
475	32467	35741
476	32531	35668
477	32587	35587
478	32616	35476
479	32676	35399
480	32757	35345
481	32860	35315
482	32925	35243
483	32992	35173
484	33142	35192
485	33290	35208
486	33442	35227
487	33477	35124
488	33507	35014
489	33526	34894
490	33601	34832
491	33640	34734
492	33700	34657
493	33765	34586
494	33888	34572
495	34076	34626
496	34220	34633
497	34425	34701
498	34595	34733
499	34733	34733
500	34893	34754
501	35054	34775
502	35114	34695
503	35178	34619
504	35301	34602
505	35356	34517
506	35390	34412
507	35428	34312
508	35518	34262
509	35591	34196
510	35618	34084
511	35688	34015
512	35747	33935
513	35912	33955
514	35971	33875
515	36086	33848
516	36165	33787
517	36206	33690
518	36246	33592
519	36344	33548
520	36388	33455
521	36425	33355
522	36478	33270
523	36549	33201
524	36598	33112
525	36693	33066
526	36776	33008
527	36843	32935
528	36964	32912
529	37016	32826
530	37091	32760
531	37136	32668
532	37251	32638
533	37324	32571
534	37441	32542
535	37571	32524
536	37704	32508
537	37789	32451
538	37834	32359
539	37934	32314
540	38099	32324
541	38213	32290
542	38285	32221
543	38372	32165
544	38559	32191
545	38670	32154
546	38726	32071
547	38921	32102
548	39034	32066
549	39093	31985
550	39244	31979
551	39343	31931
552	39378	31830
553	39453	31762
554	39498	31669
555	39573	31601
556	39634	31522
557	39848	31564
558	39914	31488
559	39961	31398
560	40005	31305
561	40061	31222
562	40190	31195
563	40250	31115
564	40384	31092
565	40497	31052
566	40591	30998
567	40654	30920
568	40732	30853
569	40774	30759
570	40893	30723
571	40992	30672
572	41078	30611
573	41149	30539
574	41163	30425
575	41228	30348
576	41329	30298
577	41400	30226
578	41430	30124
579	41472	30031
580	41507	29933
581	41582	29864
582	41702	29828
583	41801	29776
584	41905	29728
585	41988	29664
586	42045	29582
587	42136	29524
588	42179	29432
589	42222	29340
590	42301	29274
591	42495	29287
592	42638	29264
593	42711	29193
594	42768	29111
595	42835	29036
596	42889	28951
597	42964	28882
598	43041	28814
599	43085	28723
600	43129	28633
601	43173	28543
602	43306	28512
603	43388	28446
604	43456	28372
605	43502	28283
606	43616	28239
607	43696	28172
608	43833	28142
609	43875	28051
610	43911	27956
611	43950	27864
612	43991	27772
613	44030	27680
614	44090	27601
615	44180	27540
616	44321	27512
617	44363	27422
618	44399	27328
619	44472	27257
620	44528	27175
621	44638	27127
622	44711	27056
623	44747	26963
624	44793	26875
625	44847	26793
626	44921	26723
627	44980	26644
628	45118	26612
629	45199	26545
630	45251	26462
631	45331	26395
632	45429	26339
633	45504	26269
634	45534	26173
635	45583	26088
636	45616	25994
637	45689	25924
638	45730	25835
639	45757	25738
640	45802	25652
641	45865	25576
642	45910	25490
643	45970	25411
644	46070	25356
645	46150	25289
646	46239	25227
647	46308	25155
648	46358	25072
649	46388	24978
650	46441	24897
651	46477	24807
652	46505	24712
653	46551	24628
654	46612	24551
655	46678	24477
656	46734	24398
657	46756	24301
658	46781	24207
659	46825	24122
660	46869	24037
661	46918	23955
662	46974	23877
663	47023	23795
664	47040	23697
665	47082	23612
666	47122	23525
667	47163	23440
668	47191	23348
669	47230	23262
670	47278	23181
671	47327	23100
672	47387	23024
673	47438	22944
674	47506	22873
675	47529	22780
676	47579	22700
677	47630	22621
678	47689	22545
679	47713	22453
680	47763	22373
681	47823	22298
682	47883	22224
683	47921	22138
684	47961	22055
685	47999	21970
686	48077	21904
687	48152	21836
688	48213	21762
689	48243	21674
690	48320	21607
691	48414	21548
692	48487	21480
693	48561	21411
694	48651	21350
695	48699	21271
696	48746	21191
697	48788	21109
698	48833	21028
699	48874	20946
700	48922	20867
701	48995	20798
702	49025	20712
703	49090	20640
704	49163	20571
705	49236	20503
706	49315	20437
707	49495	20413
708	49654	20379
709	49832	20354
710	49925	20293
711	50045	20243
712	50124	20176
713	50261	20132
714	50322	20058
715	50354	19972
716	50432	19905
717	50542	19851
718	50626	19785
719	50716	19723
720	50796	19656
721	50842	19576
722	50983	19533
723	51056	19463
724	51147	19400
725	51211	19327
726	51288	19259
727	51355	19187
728	51435	19120
729	51514	19053
730	51586	18983
731	51639	18906
732	51713	18836
733	51779	18764
734	51845	18692
735	51949	18634
736	52046	18572
737	52126	18505
738	52191	18432
739	52247	18357
740	52311	18284
741	52372	18210
742	52432	18136
743	52518	18070
744	52566	17992
745	52707	17945
746	52886	17911
747	53047	17871
748	53123	17802
749	53164	17721
750	53226	17647
751	53301	17578
752	53391	17513
753	53432	17432
754	53481	17354
755	53509	17270
756	53586	17201
757	53640	17125
758	53650	17035
759	53730	16967
760	53764	16885
761	53899	16834
762	53959	16760
763	54026	16688
764	54075	16611
765	54183	16552
766	54258	16482
767	54302	16403
768	54347	16325
769	54422	16256
770	54484	16182
771	54584	16120
772	54627	16041
773	54696	15970
774	54742	15893
775	54816	15823
776	54893	15754
777	54962	15683
778	55029	15611
779	55171	15561
780	55268	15497
781	55321	15422
782	55368	15344
783	55436	15273
784	55534	15210
785	55650	15151
786	55808	15104
787	55856	15027
788	56015	14980
789	56082	14907
790	56172	14841
791	56268	14777
792	56382	14717
793	56442	14643
794	56487	14565
795	56572	14498
796	56699	14441
797	56772	14370
798	56863	14304
799	56954	14238
800	57045	14172
801	57141	14107
802	57202	14033
803	57242	13954
804	57320	13885
805	57396	13815
806	57455	13740
807	57500	13663
808	57561	13589
809	57606	13512
810	57688	13444
811	57802	13382
812	57868	13310
813	57918	13234
814	57998	13165
815	58027	13084
816	58117	13017
817	58198	12948
818	58240	12871
819	58309	12799
820	58386	12729
821	58457	12658
822	58505	12582
823	58575	12511
824	58633	12437
825	58712	12367
826	58754	12290
827	58809	12216
828	58869	12143
829	58913	12066
830	58989	11996
831	59071	11927
832	59125	11853
833	59173	11777
834	59245	11707
835	59311	11635
836	59374	11562
837	59427	11488
838	59489	11415
839	59544	11341
840	59581	11264
841	59623	11188
842	59666	11112
843	59728	11039
844	59770	10963
845	59863	10897
846	59954	10830
847	60044	10762
848	60118	10692
849	60146	10614
850	60191	10538
851	60253	10466
852	60326	10396
853	60441	10333
854	60670	10289
855	60805	10228
856	60910	10163
857	60984	10093
858	61076	10025
859	61121	9950
860	61256	9889
861	61377	9826
862	61565	9773
863	61675	9708
864	61749	9637
865	61833	9567
866	61899	9495
867	61974	9424
868	62103	9362
869	62203	9294
870	62280	9224
871	62342	9151
872	62378	9074
873	62438	9001
874	62555	8936
875	62633	8865
876	62681	8791
877	62737	8717
878	62841	8650
879	62922	8580
880	62985	8507
881	63054	8435
882	63131	8365
883	63158	8287
884	63219	8214
885	63317	8146
886	63441	8082
887	63475	8005
888	63538	7933
889	63564	7856
890	63640	7785
891	63685	7710
892	63727	7635
893	63790	7563
894	63830	7488
895	63879	7414
896	63924	7340
897	63969	7266
898	64044	7195
899	64148	7127
900	64349	7070
901	64507	7008
902	64672	6947
903	64779	6879
904	64853	6807
905	64950	6738
906	65033	6668
907	65182	6604
908	65329	6540
909	65360	6464
910	65486	6397
911	65636	6333
912	65782	6268
913	65864	6197
914	65921	6123
915	66055	6057
916	66130	5985
917	66180	5911
918	66258	5839
919	66326	5767
920	66464	5701
921	66655	5638
922	66793	5572
923	66869	5500
924	66914	5425
925	66995	5353
926	67048	5279
927	67099	5206
928	67153	5132
929	67264	5062
930	67324	4989
931	67356	4914
932	67407	4840
933	67498	4769
934	67557	4696
