iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
196	226	249	226	342	226	249	342
197	225	248	225	342	225	248	342
198	226	249	226	342	226	249	342
199	224	247	224	342	224	247	342
200	226	250	226	342	226	250	342
201	226	250	226	342	226	250	342
202	226	250	226	342	226	250	342
203	226	250	226	342	226	250	342
204	226	250	226	342	226	250	342
205	226	250	226	342	226	250	342
206	226	250	226	342	226	250	342
207	226	250	226	342	226	250	342
208	226	250	226	342	226	250	342
209	226	250	226	342	226	250	342
210	226	250	226	342	226	250	342
211	226	250	226	342	226	250	342
212	226	250	226	342	226	250	342
213	226	250	226	342	226	250	342
214	226	250	226	342	226	250	342
215	228	252	228	342	228	252	342
216	228	252	228	342	228	252	342
217	228	252	228	342	228	252	342
218	228	252	228	342	228	252	342
219	229	253	229	342	229	253	342
220	229	253	229	342	229	253	342
221	229	253	229	342	229	253	342
222	231	255	231	342	231	255	342
223	230	254	230	342	230	254	342
224	228	252	228	342	228	252	342
225	229	253	229	342	229	253	342
226	229	253	229	342	229	253	342
227	231	255	231	342	231	255	342
228	233	257	233	342	233	257	342
229	233	257	233	342	233	257	342
230	232	255	232	342	232	255	342
231	233	256	233	342	233	256	342
232	237	260	237	342	237	260	342
233	239	262	239	342	239	262	342
234	243	267	243	342	243	267	342
235	242	266	242	342	242	266	342
236	241	265	241	342	241	265	342
237	241	265	241	342	241	265	342
238	243	267	243	342	243	267	342
239	242	266	242	342	242	266	342
240	244	268	244	342	244	268	342
241	244	268	244	342	244	268	342
242	245	269	245	342	245	269	342
243	246	270	246	342	246	270	342
244	247	271	247	342	247	271	342
245	247	271	247	342	247	271	342
246	245	269	245	342	245	269	342
247	248	272	248	342	248	272	342
248	248	272	248	342	248	272	342
249	248	272	248	342	248	272	342
250	248	272	248	342	248	272	342
251	248	272	248	342	248	272	342
252	248	272	248	342	248	272	342
253	249	273	249	342	249	273	342
254	249	273	249	342	249	273	342
255	250	274	250	342	250	274	342
256	249	273	249	342	249	273	342
257	249	273	249	342	249	273	342
258	249	273	249	342	249	273	342
259	250	274	250	342	250	274	342
260	250	274	250	342	250	274	342
261	250	274	250	342	250	274	342
262	250	274	250	342	250	274	342
263	250	274	250	342	250	274	342
264	250	274	250	342	250	274	342
265	250	274	250	342	250	274	342
266	250	274	250	342	250	274	342
267	250	274	250	342	250	274	342
268	250	274	250	342	250	274	342
269	250	274	250	342	250	274	342
270	250	274	250	342	250	274	342
271	250	273	250	342	250	273	342
272	250	273	250	342	250	273	342
273	250	273	250	342	250	273	342
274	250	273	250	342	250	273	342
275	250	273	250	342	250	273	342
276	250	273	250	342	250	273	342
277	250	273	250	342	250	273	342
278	250	273	250	342	250	273	342
279	250	273	250	342	250	273	342
280	251	274	251	342	251	274	342
281	251	274	251	342	251	274	342
282	251	274	251	342	251	274	342
283	252	275	252	342	252	275	342
284	252	275	252	342	252	275	342
285	251	274	251	342	251	274	342
286	252	275	252	342	252	275	342
287	252	275	252	342	252	275	342
288	252	275	252	342	252	275	342
289	253	276	253	342	253	276	342
290	253	276	253	342	253	276	342
291	253	276	253	342	253	276	342
292	253	276	253	342	253	276	342
293	253	276	253	342	253	276	342
294	253	276	253	342	253	276	342
295	253	276	253	342	253	276	342
296	253	276	253	342	253	276	342
297	253	276	253	342	253	276	342
298	253	276	253	342	253	276	342
299	252	275	252	342	252	275	342
300	253	276	253	342	253	276	342
301	253	276	253	342	253	276	342
